time_ms,accel_x,accel_y,accel_z,giro_x,giro_y,giro_z
250,0.57,0.27,0.91,4.58,4.38,0.15
500,0.57,0.28,0.90,-4.66,-1.82,-2.11
750,0.57,0.27,0.90,5.61,3.56,0.27
1000,0.57,0.28,0.90,4.98,3.55,-0.02
1250,0.58,0.27,0.90,5.48,4.05,0.23
1500,0.57,0.28,0.90,5.07,3.85,0.13
1750,0.58,0.28,0.90,5.45,3.73,0.21
2000,0.58,0.27,0.90,5.32,3.91,0.02
2250,0.58,0.28,0.90,4.90,3.80,0.26
2500,0.58,0.28,0.90,5.07,3.73,0.36
2750,0.57,0.27,0.90,5.08,3.69,0.22
3000,0.57,0.28,0.90,5.31,3.69,0.11
3250,0.58,0.28,0.90,5.15,3.87,0.02
3500,0.58,0.27,0.91,5.57,3.96,0.00
3750,0.58,0.27,0.90,5.07,4.21,0.21
4000,0.38,0.63,0.78,10.15,2.80,-4.01
4250,0.55,0.38,0.78,-6.27,22.61,38.33
4500,0.34,-0.01,0.84,-11.39,26.11,-3.79
4750,-0.20,0.51,0.65,-94.54,171.39,29.71
5000,0.98,-0.59,1.76,-14.00,86.56,34.37
5250,-0.31,0.39,0.56,-80.57,-94.06,-18.50
5500,0.73,-0.48,1.24,2.09,-84.37,30.16
5750,-0.42,0.58,0.68,-107.86,-177.15,-34.17
6000,0.55,-0.45,0.57,-13.51,75.67,-14.93
6250,0.11,-0.03,0.75,-18.50,-44.96,-5.81
6500,0.39,-0.58,1.43,-2.65,116.42,8.66
6750,-0.32,0.35,0.82,183.44,159.94,29.75
7000,0.37,-0.43,1.48,-35.47,-96.93,-28.82
7250,0.04,0.32,1.38,64.21,-15.18,7.60
7500,0.04,0.27,0.75,18.01,82.99,19.55
7750,-0.22,0.49,1.20,-188.91,-136.11,-15.20
8000,-0.00,0.04,0.91,229.86,192.79,36.83
8250,0.01,0.04,0.70,-132.47,-25.40,-1.14
8500,-0.45,0.53,0.51,250.13,226.40,91.18
8750,-0.39,0.04,0.74,-216.08,-91.06,-68.29
9000,0.24,-0.53,1.31,91.96,-5.33,-13.17
9250,0.19,-0.20,1.23,194.45,250.13,99.63
9500,-0.10,-0.18,0.61,-220.28,-162.56,-245.39
9750,0.33,-0.55,0.82,250.13,250.13,244.14
10000,-0.33,1.01,0.47,-245.09,-128.48,-185.06
10250,0.16,-0.88,1.10,250.13,154.79,160.34
10500,-0.62,0.56,0.51,65.30,57.52,54.23
10750,-0.87,0.87,0.98,-250.14,-250.14,-195.69
11000,-0.03,-0.99,0.53,-203.73,-51.02,36.95
11250,-0.18,-0.80,0.25,-22.44,-63.56,40.37
11500,0.70,-0.81,-1.14,-55.73,46.32,-14.03
11750,0.21,-1.16,-0.17,212.92,115.45,-15.29
12000,-0.30,-0.58,0.92,157.16,74.32,89.04
12250,-0.03,-0.08,0.78,50.69,-70.21,-93.50
12500,0.43,0.19,1.14,18.27,-58.96,6.47
12750,0.33,0.27,1.12,-152.18,-74.85,20.77
13000,0.77,0.08,0.91,-33.37,6.23,55.45
13250,0.72,0.16,0.79,56.63,14.74,84.73
13500,0.56,0.29,0.82,-23.56,2.08,22.47
13750,0.68,0.31,0.79,5.28,4.24,0.41
14000,0.68,0.31,0.79,4.99,3.87,0.14
14250,0.69,0.31,0.79,4.98,3.96,0.30
14500,0.68,0.31,0.79,4.98,4.25,0.11
14750,0.68,0.31,0.79,5.48,3.80,0.47
15000,0.68,0.31,0.80,5.10,3.65,-0.01
15250,0.68,0.31,0.79,5.40,3.78,0.21
15500,0.68,0.31,0.80,5.15,4.04,0.34
15750,0.68,0.31,0.79,5.01,4.15,0.57
16000,0.68,0.31,0.79,5.22,4.21,0.25
16250,0.68,0.31,0.79,5.14,3.93,-0.07
16500,0.69,0.31,0.79,5.50,3.69,0.37
16750,0.69,0.31,0.79,4.97,4.01,-0.21
17000,0.68,0.31,0.79,4.98,4.11,-0.07
17250,0.68,0.31,0.79,5.35,4.02,0.30
17500,0.68,0.31,0.79,5.20,3.95,0.52
17750,0.69,0.31,0.79,5.34,3.76,0.15
18000,0.68,0.31,0.79,5.02,3.76,-0.02
18250,0.68,0.31,0.79,5.06,3.85,0.12
18500,0.68,0.31,0.78,5.27,4.00,0.17
18750,0.68,0.31,0.79,5.09,4.14,0.24
19000,0.68,0.31,0.79,5.33,4.13,0.20
19250,0.68,0.31,0.79,5.23,3.79,0.20
19500,0.69,0.31,0.79,5.70,3.25,0.28
19750,0.70,0.32,0.77,7.01,1.19,-0.16
20000,0.69,0.31,0.78,7.41,-0.14,-0.31
20250,0.68,0.31,0.79,3.27,8.17,0.47
20500,0.67,0.30,0.81,5.54,3.69,0.25
20750,0.68,0.31,0.79,6.20,2.15,0.16
21000,0.68,0.31,0.79,5.07,3.98,-0.04
21250,0.68,0.30,0.79,5.34,3.88,0.26
21500,0.68,0.31,0.79,5.21,3.89,0.19
21750,0.69,0.31,0.78,5.18,3.85,0.12
22000,0.68,0.31,0.80,5.18,3.76,-0.21
